,nome,verso
563,"Aqui, Ali, Em Qualquer Lugar","Olho pro céu, meu sol continua lá"
564,"Aqui, Ali, Em Qualquer Lugar","E eu aqui, pra lá e pra cá"
565,"Aqui, Ali, Em Qualquer Lugar","Aqui, ali, em qualquer lugar..."
566,Arrombou a Festa,"Ai, ai, meu Deus"
567,Arrombou a Festa,O que foi que aconteceu
568,Arrombou a Festa,Com a Música Popular Brasileira?
569,Arrombou a Festa,Todos falam sério
570,Arrombou a Festa,Todos eles levam a sério
571,Arrombou a Festa,Mas esse sério me parece brincadeira
572,Arrombou a Festa,Benito lá de Paula com o amigo Charlie Brown
573,Arrombou a Festa,Revive em nosso tempo o velho e chato Simonal
574,Arrombou a Festa,Martinho vem da Vila lá do fundo do quintal
575,Arrombou a Festa,Tornando diferente aquela coisa sempre igual
576,Arrombou a Festa,Um tal de Raul Seixas vem de disco voador
577,Arrombou a Festa,E Gil vai refazendo seu xodó com muito amor
578,Arrombou a Festa,Dez anos e Roberto não mudou de profissão
579,Arrombou a Festa,Na festa de arromba ainda está com seu carrão
580,Arrombou a Festa,Parei pra pesquisar
581,Arrombou a Festa,"Ai, ai, meu Deus"
582,Arrombou a Festa,O que foi que aconteceu
583,Arrombou a Festa,Com a Música Popular Brasileira?
584,Arrombou a Festa,Todos falam sério
585,Arrombou a Festa,Todos eles levam a sério
586,Arrombou a Festa,Mas esse sério me parece brincadeira
